,skin,fat,muscle,ijv,cca
338,25.0,10.0,6.5,30.25,30.25
339,25.0,10.0,6.5,23.0,23.0
340,25.0,10.0,5.25,52.0,52.0
341,25.0,10.0,5.25,44.75,44.75
342,25.0,10.0,5.25,37.5,37.5
343,25.0,10.0,5.25,30.25,30.25
344,25.0,10.0,5.25,23.0,23.0
345,25.0,10.0,4.0,52.0,52.0
346,25.0,10.0,4.0,44.75,44.75
347,25.0,10.0,4.0,37.5,37.5
348,25.0,10.0,4.0,30.25,30.25
349,25.0,10.0,4.0,23.0,23.0
350,22.0,23.0,9.0,52.0,52.0
351,22.0,23.0,9.0,44.75,44.75
352,22.0,23.0,9.0,37.5,37.5
353,22.0,23.0,9.0,30.25,30.25
354,22.0,23.0,9.0,23.0,23.0
355,22.0,23.0,7.75,52.0,52.0
356,22.0,23.0,7.75,44.75,44.75
357,22.0,23.0,7.75,37.5,37.5
358,22.0,23.0,7.75,30.25,30.25
359,22.0,23.0,7.75,23.0,23.0
360,22.0,23.0,6.5,52.0,52.0
361,22.0,23.0,6.5,44.75,44.75
362,22.0,23.0,6.5,37.5,37.5
363,22.0,23.0,6.5,30.25,30.25
364,22.0,23.0,6.5,23.0,23.0
365,22.0,23.0,5.25,52.0,52.0
366,22.0,23.0,5.25,44.75,44.75
367,22.0,23.0,5.25,37.5,37.5
368,22.0,23.0,5.25,30.25,30.25
369,22.0,23.0,5.25,23.0,23.0
370,22.0,23.0,4.0,52.0,52.0
371,22.0,23.0,4.0,44.75,44.75
372,22.0,23.0,4.0,37.5,37.5
373,22.0,23.0,4.0,30.25,30.25
374,22.0,23.0,4.0,23.0,23.0
375,22.0,20.833333333333332,9.0,52.0,52.0
376,22.0,20.833333333333332,9.0,44.75,44.75
377,22.0,20.833333333333332,9.0,37.5,37.5
378,22.0,20.833333333333332,9.0,30.25,30.25
379,22.0,20.833333333333332,9.0,23.0,23.0
380,22.0,20.833333333333332,7.75,52.0,52.0
381,22.0,20.833333333333332,7.75,44.75,44.75
382,22.0,20.833333333333332,7.75,37.5,37.5
383,22.0,20.833333333333332,7.75,30.25,30.25
384,22.0,20.833333333333332,7.75,23.0,23.0
385,22.0,20.833333333333332,6.5,52.0,52.0
386,22.0,20.833333333333332,6.5,44.75,44.75
387,22.0,20.833333333333332,6.5,37.5,37.5
388,22.0,20.833333333333332,6.5,30.25,30.25
389,22.0,20.833333333333332,6.5,23.0,23.0
390,22.0,20.833333333333332,5.25,52.0,52.0
391,22.0,20.833333333333332,5.25,44.75,44.75
392,22.0,20.833333333333332,5.25,37.5,37.5
393,22.0,20.833333333333332,5.25,30.25,30.25
394,22.0,20.833333333333332,5.25,23.0,23.0
395,22.0,20.833333333333332,4.0,52.0,52.0
396,22.0,20.833333333333332,4.0,44.75,44.75
397,22.0,20.833333333333332,4.0,37.5,37.5
398,22.0,20.833333333333332,4.0,30.25,30.25
399,22.0,20.833333333333332,4.0,23.0,23.0
400,22.0,18.666666666666668,9.0,52.0,52.0
401,22.0,18.666666666666668,9.0,44.75,44.75
402,22.0,18.666666666666668,9.0,37.5,37.5
403,22.0,18.666666666666668,9.0,30.25,30.25
404,22.0,18.666666666666668,9.0,23.0,23.0
405,22.0,18.666666666666668,7.75,52.0,52.0
406,22.0,18.666666666666668,7.75,44.75,44.75
407,22.0,18.666666666666668,7.75,37.5,37.5
408,22.0,18.666666666666668,7.75,30.25,30.25
409,22.0,18.666666666666668,7.75,23.0,23.0
